QTL,Trait,Effect,SE,Chromosome,Position,Lower,Upper
QTL_1,Height,0.9934283060224653,1.231993941811405,5,59.6850157946487,-1.4212798199278884,3.408136431972819
QTL_1,Yield,-0.2765286023423693,0.9458327528535911,3,45.92488919658672,-2.130360797935408,1.5773035932506692
QTL_1,Quality,-1.7704606913831886,1.1508884729488529,5,96.99098521619943,-4.0262020983629405,0.48528071559656305
QTL_1,Disease_Res,-0.8243769609443007,1.3324426408004217,2,18.182496720710063,-3.435964536913127,1.787210615024526
QTL_2,Height,-1.142760331508283,1.024756431632238,4,2.3062425041415757,-3.1512829375074696,0.8657622744909035
QTL_2,Yield,-1.8481656754942097,1.0247746602583891,2,4.666566321361543,-3.8567240096006525,0.16039265861223306
QTL_2,Quality,0.44415780312948605,0.8824619912671627,4,59.24145688620425,-1.285467699754153,2.173783306013125
QTL_2,Disease_Res,-1.5359530038861544,0.5464504127199977,3,68.03075385877797,-2.60699581281735,-0.464910194954959
QTL_3,Height,-0.5867982927173234,1.4422017556848528,2,38.54165025399161,-3.4135137338596344,2.239917148424988
QTL_3,Yield,-0.05967713871949737,0.5159662522202142,2,68.42330265121569,-1.0709709930711173,0.9516167156321225
QTL_3,Quality,-2.0431043893511958,0.9951769101112702,3,90.9320402078782,-3.993651133169285,-0.0925576455331063
QTL_3,Disease_Res,-0.3235107727950419,0.7587799816000169,4,31.171107608941096,-1.810719536731075,1.1636979911409913
QTL_4,Height,5.556626083104881,0.684854455525527,2,77.51328233611146,4.214311350274848,6.898940815934914
QTL_4,Yield,2.3872794485646347,1.4394989415641892,4,59.78999788110851,-0.43413847690117624,5.208697374030446
QTL_4,Quality,-2.0181706857302153,0.7713490317738959,5,58.67511656638482,-3.530014788007051,-0.5063265834533794
QTL_4,Disease_Res,-3.166588427073775,1.465255307264138,4,54.26960831582485,-6.038488829311486,-0.29468802483606416
QTL_5,Height,0.64816793878959,0.5745506436797708,1,77.22447692966574,-0.47795132282276076,1.7742872004019408
QTL_5,Yield,-0.7701645608326331,0.6987156815341724,3,19.884240408880515,-2.1396472966396107,0.5993181749743448
QTL_5,Quality,1.8611688015422039,1.1059599747810114,2,35.84657285442726,-0.3065127490285784,4.028850352112986
QTL_5,Disease_Res,1.355534819346683,0.6158690595251297,1,62.329812682755794,0.1484314626774288,2.562638176015937
QTL_6,Height,-0.9583484756905799,0.8109823217156622,5,72.96061783380641,-2.547873826253278,0.6311768748721179
QTL_6,Yield,-0.37131795332763423,1.1375574713552132,3,56.12434258477011,-2.600930597183852,1.8582946905285838
QTL_6,Quality,0.6536904479400277,1.3489138242660839,5,56.127719756949624,-1.9901806476214965,3.297561543501552
QTL_6,Disease_Res,-0.1622379083173746,1.270967179954561,3,52.27328293819941,-2.6533335810283143,2.3288577643935646
QTL_7,Height,-0.7972767800304025,0.6078914269933045,1,31.435598107632668,-1.988743976937279,0.39419041687647416
QTL_7,Yield,-0.12172817494949227,1.0085706911647028,5,24.929222914887493,-2.0985267296323094,1.855070379733325
QTL_7,Quality,2.955788089483032,0.7287981654916225,3,69.47849330397045,1.5273436851194522,4.384232493846612
QTL_7,Disease_Res,-1.0365404365472948,1.3804678390152576,2,80.8120379564417,-3.7422574010172,1.6691765279226103
QTL_8,Height,1.8308042354041483,1.3036720768991144,4,41.65099478703662,-0.7243930353181156,4.386001506126412
QTL_8,Yield,0.6575022193193689,1.3832802589188682,2,12.208795470067335,-2.0537270881616125,3.3687315268003504
QTL_8,Quality,1.448166503051754,0.7721322493846353,3,42.71077886262563,-0.065212705742131,2.9615457118456394
QTL_8,Disease_Res,-0.5115292739178847,1.3180147659224932,1,30.478125815802905,-3.0948382151259715,2.071779667290202
